10 
 70 10011 5
13  70 10010 5
32   689 11 2
33 ! 2 0111110011 10
34 " 18 1010100 7
40 ( 45 00001 5
41 ) 45 00000 5
42 * 2 0111111010 10
43 + 21 1011010 7
44 , 12 0100000 7
46 . 25 010001 6
48 0 9 01111111 8
49 1 3 011110100 9
59 ; 38 101011 6
60 < 6 01000011 8
61 = 23 000100 6
62 > 3 010000100 9
65 A 4 011110101 9
67 C 4 011111010 9
70 F 7 01101100 8
71 G 8 01111011 8
72 H 14 0110111 7
73 I 5 101101110 9
76 L 2 0111111011 10
77 M 1 01111101110 11
78 N 11 10110110 8
79 O 2 0111110010 10
80 P 2 0111110001 10
81 Q 2 0111110000 10
82 R 7 01101101 8
83 S 14 0110101 7
84 T 10 10110001 8
91 [ 24 001000 6
93 ] 24 001001 6
95 _ 1 01111101111 11
97 a 29 011101 6
98 b 10 10110010 8
99 c 47 00011 5
100 d 35 100011 6
101 e 101 0101 4
102 f 37 101000 6
103 g 19 1010101 7
104 h 15 0111100 7
105 i 98 0011 4
106 j 1 01000010110 11
107 k 1 01000010111 11
108 l 37 101001 6
109 m 6 101101111 9
110 n 65 10000 5
111 o 50 01001 5
112 p 23 000101 6
113 q 9 10110000 8
114 r 49 00101 5
115 s 51 01100 5
116 t 85 10111 5
117 u 28 011100 6
118 v 4 011111100 9
119 w 10 10110011 8
120 x 13 0110100 7
121 y 2 0111110110 10
122 z 1 0100001010 10
123 { 17 1000100 7
125 } 17 1000101 7
